Company_ID,Company_Name,Established_Year,Company_Status,Ceased_Date,Ceased_Date_Year,Sector,SubSector,Stage,HQ_Country,Top 5 common words ,Total_Raised,Company_Age,Number of Employees,Funds Round,Management_Members,Bord_Members,Angel_?,Num_Sentences,Polarity_Scores,positive_negative_neutral,Email,isActive
1a822b97-7c12-e911-80fa-0050569a1018,3Lawgy,2017,Ceased,Q1/2019 ,2019,Internet,Internet Applications,R&D,Israel,"['3Lawgy', 'sharing', 'economy', 'platform', 'legal']",0.005,2,5,1,3,0,0,1,0.8316,1,,0
c5818dcc-1f7a-e111-ac59-00155d32a403,99Widgets,2007,Ceased,Q4/2015,2015,Internet,Internet Applications,Initial Revenues,Cyprus,"['99Widgets', 'Widgets', 'widget', 'social', 'services']",6.5,8,5,1.5,2,0,0,10,0.9403,1,,0
faa93914-207a-e111-ac59-00155d32a403,Acceloop Ltd.,2000,Ceased,Q2/2002,2002,Internet,Content Delivery Platforms,Seed,Israel,"['content', 'Acceloop', 'bandwidth', 'existing', 'delivery']",1,2,8,1,2,0,0,4,0.2311,1,,0
35c967ea-1f7a-e111-ac59-00155d32a403,ActiveNames Ltd.,1998,Ceased,Q1/2001,2001,Internet,e-Commerce,Seed,United States,"['ActiveNames', 'allowed', 'information', 'online', 'track']",3.25,3,15,2,2,2,0,6,-0.3818,-1,,0
1f982e20-207a-e111-ac59-00155d32a403,AditAll LLC,2007,Ceased,Q1/2016,2016,Internet,Online Advertising,R&D,United States,"['video', 'ads', 'community', 'AditAll', 'distribution']",6.5,9,12,1.5,4,0,1,4,0.6486,1,,0
7de391a2-f5e6-e211-bf14-00155d32a40a,AeroCRS,2006,Active Private,,,Internet,Internet Applications,Initial Revenues,Israel,"['AeroCRS', 'distribution', 'technology', 'services', 'management']",3,17,18,2,2,2,0,5,0.5106,1,,1
ede55c62-1c3b-e811-80e4-00155d0b832c,Air Doctor,2016,Active Private,,,Life Sciences,Digital Health,Initial Revenues,Israel,"['Air', 'Doctor', 'local', 'private', 'doctors']",30.9,7,65,3,11,4,0,2,0.9159,1,,1
6ea65299-35a4-e611-9113-80c16e7d3630,Amaryllis,2011,Active Private,,,IT & Enterprise Software,Enterprise Applications,Initial Revenues,United States,"['end', 'Amaryllis', 'provides', 'Marketplaces', 'modular']",13,12,40,1,6,4,0,2,0.8271,1,,1
f5c86fe4-1f7a-e111-ac59-00155d32a403,AmigoChat,2000,Ceased,Q4/2020,2020,Communications,Mobile Applications,Initial Revenues,Israel,"['mobile', 'content', 'consumers', 'want', 'Amigochat']",6.5,20,5,1.5,2,0,0,1,0.91,1,,0
900bdc2d-5cf6-e111-a13f-00155d32a408,AppCoin,2012,Ceased,Q1/2016,2016,Communications,Mobile Applications,R&D,Israel,"['services', 'AppCoin', 'online', 'goods', 'sellers']",6.5,4,30,1,7,0,1,7,0.8765,1,,0
6e164c57-c576-e311-9814-80c16e7d3632,Aroundish,2014,Ceased,Q1/2015,2015,Internet,Internet Applications,R&D,Israel,"['Aroundish', 'peer', 'meal', 'end', 'connects']",0,1,3,1,3,0,0,4,0.891,1,,0
b2959dc0-1f7a-e111-ac59-00155d32a403,ArticlesBase,2005,Ceased,Q3/2016,2016,Internet,Content Management,Initial Revenues,Israel,"['article', 'ArticlesBase', 'free', 'x000D', 'site']",6.5,11,5,1.5,2,3,1,1,0.8316,1,,0
4fdd2a2a-15bd-e511-bd22-80c16e7d3630,Baexy App,2015,Ceased,Q4/2016,2016,Communications,Mobile Applications,Seed,Israel,"['media', 'social', 'new', 'online', 'Baexy']",0.04,1,3,1,4,0,0,5,0.8475,1,,0
841d04e0-3024-e711-80d2-00155d0b832b,Bancor,2016,Active Private,,,IT & Enterprise Software,Business Analytics,Revenue Growth,Switzerland,"['Smart', 'Tokens', 'cryptocurrencies', 'token', 'liquidity']",153,7,110,1,12,1,1,3,0.93,1,,1
41ca67ea-1f7a-e111-ac59-00155d32a403,Bandwiz Inc.,2000,Ceased,Q4/2004,2004,Communications,Telecom Applications,Initial Revenues,United States,"['content', 'providers', 'demand', 'Bandwiz', 'provider']",18,4,30,2,11,3,1,3,0.8959,1,,0
61500249-f792-e811-80f7-0050569a1018,Barrel Protocol,2017,Active Private,,,IT & Enterprise Software,Business Analytics,Initial Revenues,Israel,"['data', 'Barrel', 'Protocol', 'smart', 'automates']",4,6,10,1,4,0,0,2,0.765,1,,1
9642bdb4-0d94-e511-bd22-80c16e7d3630,Beaconcure,2016,Active Private,,,Life Sciences,Digital Health,Initial Revenues,Israel,"['data', 'time', 'Beaconcure', 'ML', 'clinical']",2.5,7,16,2,7,3,0,4,0.9349,1,,1
b57e85d2-1f7a-e111-ac59-00155d32a403,BeamUps,2006,Ceased,Q4/2011 ,2011,Communications,Broadcast,R&D,United Kingdom,"['BeamUps', 'content', 'internet', 'platform', 'media']",2,5,10,1,7,1,0,4,0.8271,1,,0
a3adf1b7-279d-e711-80d7-00155d0b832c,Billion Vegans,2017,Active Private,,,Internet,e-Commerce,Initial Revenues,United States,"['vegan', 'plant', 'based', 'Billion', 'Vegans']",6.5,6,15,1.5,2,0,0,2,0,0,contact@billionvegans.com,1
cb4031de-a968-ed11-b811-00505695cd29,BitLender,2021,Active Private,,,Internet,Internet Applications,R&D,Israel,"['BitLender', 'financial', 'system', 'security', 'reliability']",1,2,8,1,4,1,0,2,0.886,1,,1
0d5ad1f5-7985-e211-b93c-00155d32a40a,BitMint,2011,Active Private,,,IT & Enterprise Software,Security,R&D,Israel,"['BitMint', 'security', 'data', 'cyber', 'friendly']",6.5,12,6,1,2,0,0,7,0.9666,1,utility@BitMint.com,1
a48b4908-207a-e111-ac59-00155d32a403,Bizpoint,2000,Active Private,,,Internet,Content Delivery Platforms,Initial Revenues,Israel,"['Bizpoint', 'dedicated', 'applying', 'long', 'term']",1.5,23,5,2,2,0,0,1,0.6124,1,,1
